0	0,315	0,2235	0,2235	0,315	NAN	
0,1	0,315	0,2235	0,2235	0,315	NAN	
0,2	0,315	0,2235	0,2235	0,315	NAN	
0,3	0,315	0,2235	0,2235	0,315	NAN	
0,4	0,315	0,2235	0,2235	0,315	NAN	
0,5	0,315	0,2235	0,2235	0,315	NAN	
0,6	0,315	0,2235	0,2235	0,315	NAN	
0,7	0,315	0,2235	0,2235	0,315	NAN	
0,8	0,315	0,2235	0,2235	0,315	NAN	
0,9	0,315	0,2235	0,2235	0,315	NAN	
1	0,315	0,2235	0,2235	0,315	NAN	
1,1	0,315	0,2235	0,2235	0,315	NAN	
1,2	0,315	0,2235	0,2235	0,315	NAN	
1,3	0,315	0,2235	0,2235	0,315	NAN	
1,4	0,315	0,2235	0,2235	0,315	NAN	
1,5	0,315	0,2235	0,2235	0,315	NAN	
1,6	0,315	0,2235	0,2235	0,315	NAN	
1,7	0,315	0,2235	0,2235	0,315	NAN	
1,8	0,315	0,2235	0,2235	0,315	NAN	
1,9	0,315	0,2235	0,2235	0,315	NAN	
2	0,315	0,222	0,222	0,315	NAN	
2,1	0,36	0,222	0,222	0,36	NAN	
2,2	0,525	0,2235	0,2235	0,525	NAN	
2,3	0,69	0,225	0,225	0,69	NAN	
2,4	0,855	0,2265	0,2265	0,855	NAN	
2,5	1,02	0,2265	0,2265	1,02	NAN	
2,6	1,185	0,2265	0,2265	1,185	NAN	
2,7	1,35	0,228	0,228	1,35	NAN	
2,8	1,5	0,228	0,228	1,5	NAN	
2,9	1,665	0,228	0,228	1,665	NAN	
3	1,83	0,228	0,228	1,83	NAN	
3,1	1,98	0,228	0,228	1,98	NAN	
3,2	2,145	0,228	0,228	2,145	NAN	
3,3	2,295	0,228	0,228	2,295	NAN	
3,4	2,445	0,2265	0,2265	2,445	NAN	
3,5	2,61	0,228	0,228	2,61	NAN	
3,6	2,76	0,228	0,228	2,76	NAN	
3,7	2,91	0,2265	0,2265	2,91	NAN	
3,8	3,075	0,225	0,225	3,075	NAN	
3,9	3,225	0,225	0,225	3,225	NAN	
4	3,375	0,228	0,228	3,375	NAN	
4,1	3,525	0,231	0,231	3,525	NAN	
