0,315	0,2235
0,315	0,2235
0,315	0,2235
0,315	0,222
0,33	0,222
0,465	0,2235
0,645	0,2265
0,81	0,228
0,975	0,2295
0,975	0,2295
1,14	0,2295
1,305	0,2295
1,455	0,2295
1,62	0,228
1,785	0,2295
1,935	0,2295
2,1	0,228
2,25	0,228
2,415	0,2295
2,565	0,231
2,73	0,231
2,88	0,231
3,03	0,231
3,18	0,2295
3,33	0,231
3,48	0,234
3,63	0,2355
3,78	0,2355
3,93	0,234
4,08	0,2325
4,23	0,234
4,365	0,234
4,515	0,234
4,665	0,2355
4,8	0,237
4,95	0,2385
5,085	0,24
5,235	0,2415
5,37	0,243
5,52	0,2445
5,655	0,2475
5,79	0,249
5,925	0,252
6,06	0,255
6,21	0,2565
6,345	0,2595
6,48	0,264
6,615	0,267
6,75	0,27
6,87	0,273
7,005	0,276
7,14	0,279
7,275	0,282
7,41	0,2835
7,53	0,285
7,665	0,2865
7,8	0,288
7,92	0,288
8,055	0,2895
8,175	0,2895
8,295	0,291
8,43	0,291
8,43	0,2925
8,55	0,2925
8,67	0,2925
8,805	0,2925
8,925	0,2925
9,045	0,294
9,165	0,294
9,285	0,297
9,405	0,2985
9,525	0,2985
9,645	0,3015
9,765	0,3045
9,885	0,3075
10,005	0,312
10,125	0,3165
10,23	0,321
10,35	0,327
10,47	0,333
10,575	0,3405
10,695	0,3495
10,815	0,3585
10,92	0,3675
11,04	0,378
11,145	0,39
11,25	0,4035
11,37	0,417
11,475	0,4305
11,58	0,4425
11,7	0,456
11,805	0,4665
11,91	0,4755
12,015	0,483
12,135	0,489
12,24	0,492
12,345	0,495
12,45	0,4965
12,555	0,498
12,66	0,4965
12,765	0,495
12,87	0,4905
12,96	0,486
13,065	0,483
13,17	0,4815
13,275	0,4755
13,365	0,4695
13,47	0,4635
13,575	0,4605
13,665	0,4575
13,77	0,4545
13,86	0,453
13,965	0,453
14,055	0,453
14,16	0,4545
14,25	0,456
14,25	0,4605
14,355	0,4635
14,445	0,4695
14,535	0,4695
14,64	0,4755
14,73	0,483
14,82	0,492
14,925	0,501
15,015	0,513
