0	0,36	0,2145	0,2145	0,36	NAN	
0,1	0,36	0,2145	0,2145	0,36	NAN	
0,2	0,345	0,2145	0,2145	0,345	NAN	
0,3	0,345	0,2145	0,2145	0,345	NAN	
0,4	0,345	0,216	0,216	0,345	NAN	
0,5	0,33	0,216	0,216	0,33	NAN	
0,6	0,33	0,216	0,216	0,33	NAN	
0,7	0,33	0,216	0,216	0,33	NAN	
0,8	0,33	0,216	0,216	0,33	NAN	
0,9	0,33	0,216	0,216	0,33	NAN	
1	0,33	0,216	0,216	0,33	NAN	
1,1	0,33	0,216	0,216	0,33	NAN	
1,2	0,33	0,216	0,216	0,33	NAN	
1,3	0,33	0,216	0,216	0,33	NAN	
1,4	0,375	0,216	0,216	0,375	NAN	
1,5	0,54	0,219	0,219	0,54	NAN	
1,6	0,705	0,2205	0,2205	0,705	NAN	
1,7	0,885	0,222	0,222	0,885	NAN	
1,8	1,05	0,222	0,222	1,05	NAN	
1,9	1,215	0,222	0,222	1,215	NAN	
2	1,38	0,222	0,222	1,38	NAN	
2,1	1,545	0,2235	0,2235	1,545	NAN	
2,2	1,71	0,2235	0,2235	1,71	NAN	
2,3	1,875	0,2235	0,2235	1,875	NAN	
2,4	2,025	0,2235	0,2235	2,025	NAN	
2,5	2,19	0,2235	0,2235	2,19	NAN	
2,6	2,355	0,2235	0,2235	2,355	NAN	
2,7	2,505	0,2235	0,2235	2,505	NAN	
2,8	2,67	0,2235	0,2235	2,67	NAN	
2,9	2,82	0,2235	0,2235	2,82	NAN	
3	2,985	0,2235	0,2235	2,985	NAN	
3,1	3,135	0,2235	0,2235	3,135	NAN	
3,2	3,285	0,2235	0,2235	3,285	NAN	
3,3	3,435	0,2235	0,2235	3,435	NAN	
3,4	3,585	0,2235	0,2235	3,585	NAN	
3,5	3,75	0,2235	0,2235	3,75	NAN	
3,6	3,9	0,2235	0,2235	3,9	NAN	
3,7	4,035	0,2235	0,2235	4,035	NAN	
3,8	4,185	0,225	0,225	4,185	NAN	
3,9	4,335	0,2235	0,2235	4,335	NAN	
4	4,485	0,2235	0,2235	4,485	NAN	
4,1	4,635	0,2235	0,2235	4,635	NAN	
4,2	4,785	0,2235	0,2235	4,785	NAN	
4,3	4,92	0,222	0,222	4,92	NAN	
4,4	5,07	0,222	0,222	5,07	NAN	
4,5	5,205	0,225	0,225	5,205	NAN	
4,6	5,355	0,2265	0,2265	5,355	NAN	
4,7	5,49	0,2265	0,2265	5,49	NAN	
4,8	5,64	0,2265	0,2265	5,64	NAN	
4,9	5,775	0,225	0,225	5,775	NAN	
5	5,775	0,2265	0,2265	5,775	NAN	
5,1	5,91	0,228	0,228	5,91	NAN	
5,2	6,045	0,2295	0,2295	6,045	NAN	
5,3	6,195	0,231	0,231	6,195	NAN	
5,4	6,33	0,231	0,231	6,33	NAN	
5,5	6,465	0,234	0,234	6,465	NAN	
5,6	6,6	0,237	0,237	6,6	NAN	
5,7	6,735	0,24	0,24	6,735	NAN	
5,8	6,87	0,2415	0,2415	6,87	NAN	
5,9	7,005	0,2445	0,2445	7,005	NAN	
6	7,14	0,246	0,246	7,14	NAN	
6,1	7,275	0,249	0,249	7,275	NAN	
6,2	7,395	0,252	0,252	7,395	NAN	
6,3	7,53	0,279	0,279	7,53	NAN	
6,4	7,665	0,306	0,306	7,665	NAN	
6,5	7,8	0,306	0,306	7,8	NAN	
6,6	7,92	0,294	0,294	7,92	NAN	
6,7	8,055	0,282	0,282	8,055	NAN	
6,8	8,175	0,2715	0,2715	8,175	NAN	
6,9	8,31	0,261	0,261	8,31	NAN	
7	8,43	0,255	0,255	8,43	NAN	
7,1	8,565	0,255	0,255	8,565	NAN	
7,2	8,685	0,2565	0,2565	8,685	NAN	
7,3	8,805	0,2595	0,2595	8,805	NAN	
7,4	8,94	0,261	0,261	8,94	NAN	
7,5	9,06	0,264	0,264	9,06	NAN	
7,6	9,18	0,2685	0,2685	9,18	NAN	
7,7	9,3	0,2715	0,2715	9,3	NAN	
7,8	9,42	0,276	0,276	9,42	NAN	
7,9	9,54	0,282	0,282	9,54	NAN	
8	9,66	0,288	0,288	9,66	NAN	
8,1	9,78	0,294	0,294	9,78	NAN	
