0	0,315	0,2205	0,2205	0,315	NAN	
0,1	0,315	0,2205	0,2205	0,315	NAN	
0,2	0,315	0,2205	0,2205	0,315	NAN	
0,3	0,315	0,2205	0,2205	0,315	NAN	
0,4	0,315	0,2205	0,2205	0,315	NAN	
0,5	0,315	0,2205	0,2205	0,315	NAN	
0,6	0,315	0,2205	0,2205	0,315	NAN	
0,7	0,315	0,2205	0,2205	0,315	NAN	
0,8	0,315	0,2205	0,2205	0,315	NAN	
0,9	0,315	0,2205	0,2205	0,315	NAN	
1	0,315	0,2205	0,2205	0,315	NAN	
1,1	0,315	0,2205	0,2205	0,315	NAN	
1,2	0,315	0,2205	0,2205	0,315	NAN	
1,3	0,315	0,2205	0,2205	0,315	NAN	
1,4	0,315	0,2205	0,2205	0,315	NAN	
1,5	0,315	0,2205	0,2205	0,315	NAN	
1,6	0,375	0,2205	0,2205	0,375	NAN	
1,7	0,54	0,2205	0,2205	0,54	NAN	
1,8	0,705	0,222	0,222	0,705	NAN	
1,9	0,87	0,2235	0,2235	0,87	NAN	
2	1,035	0,2235	0,2235	1,035	NAN	
2,1	1,2	0,225	0,225	1,2	NAN	
2,2	1,365	0,225	0,225	1,365	NAN	
2,3	1,365	0,2265	0,2265	1,365	NAN	
2,4	1,53	0,2265	0,2265	1,53	NAN	
2,5	1,695	0,2265	0,2265	1,695	NAN	
2,6	1,845	0,2265	0,2265	1,845	NAN	
2,7	2,01	0,225	0,225	2,01	NAN	
2,8	2,16	0,2265	0,2265	2,16	NAN	
2,9	2,325	0,228	0,228	2,325	NAN	
3	2,475	0,228	0,228	2,475	NAN	
3,1	2,625	0,228	0,228	2,625	NAN	
3,2	2,79	0,228	0,228	2,79	NAN	
3,3	2,94	0,228	0,228	2,94	NAN	
3,4	3,09	0,228	0,228	3,09	NAN	
3,5	3,24	0,228	0,228	3,24	NAN	
3,6	3,39	0,2295	0,2295	3,39	NAN	
3,7	3,54	0,2295	0,2295	3,54	NAN	
3,8	3,69	0,231	0,231	3,69	NAN	
3,9	3,84	0,231	0,231	3,84	NAN	
4	3,99	0,2325	0,2325	3,99	NAN	
4,1	4,14	0,2325	0,2325	4,14	NAN	
4,2	4,29	0,234	0,234	4,29	NAN	
4,3	4,425	0,234	0,234	4,425	NAN	
4,4	4,575	0,2355	0,2355	4,575	NAN	
4,5	4,725	0,2355	0,2355	4,725	NAN	
4,6	4,86	0,237	0,237	4,86	NAN	
4,7	5,01	0,2385	0,2385	5,01	NAN	
4,8	5,145	0,24	0,24	5,145	NAN	
4,9	5,295	0,2415	0,2415	5,295	NAN	
5	5,43	0,243	0,243	5,43	NAN	
5,1	5,565	0,246	0,246	5,565	NAN	
5,2	5,715	0,2475	0,2475	5,715	NAN	
5,3	5,85	0,2505	0,2505	5,85	NAN	
5,4	5,985	0,2505	0,2505	5,985	NAN	
5,5	6,12	0,2535	0,2535	6,12	NAN	
5,6	6,255	0,261	0,261	6,255	NAN	
5,7	6,39	0,2655	0,2655	6,39	NAN	
5,8	6,525	0,2685	0,2685	6,525	NAN	
5,9	6,66	0,27	0,27	6,66	NAN	
6	6,795	0,273	0,273	6,795	NAN	
6,1	6,93	0,276	0,276	6,93	NAN	
6,2	7,065	0,279	0,279	7,065	NAN	
6,3	7,2	0,282	0,282	7,2	NAN	
6,4	7,32	0,2835	0,2835	7,32	NAN	
6,5	7,455	0,2865	0,2865	7,455	NAN	
6,6	7,59	0,288	0,288	7,59	NAN	
6,7	7,725	0,2895	0,2895	7,725	NAN	
6,8	7,845	0,2895	0,2895	7,845	NAN	
6,9	7,98	0,291	0,291	7,98	NAN	
7	8,1	0,291	0,291	8,1	NAN	
7,1	8,235	0,291	0,291	8,235	NAN	
7,2	8,355	0,291	0,291	8,355	NAN	
7,3	8,475	0,2925	0,2925	8,475	NAN	
7,4	8,61	0,2925	0,2925	8,61	NAN	
7,5	8,73	0,2925	0,2925	8,73	NAN	
