10,7	12,6	0,585	0,585	12,6	NAN	
10,8	12,705	0,5805	0,5805	12,705	NAN	
10,9	12,81	0,5745	0,5745	12,81	NAN	
11	12,915	0,567	0,567	12,915	NAN	
11,1	13,02	0,5595	0,5595	13,02	NAN	
11,2	13,125	0,552	0,552	13,125	NAN	
11,3	13,215	0,5445	0,5445	13,215	NAN	
11,4	13,32	0,537	0,537	13,32	NAN	
11,5	13,425	0,531	0,531	13,425	NAN	
11,6	13,515	0,525	0,525	13,515	NAN	
11,7	13,62	0,5205	0,5205	13,62	NAN	
11,8	13,725	0,5175	0,5175	13,725	NAN	
11,9	13,815	0,516	0,516	13,815	NAN	
12	13,92	0,5145	0,5145	13,92	NAN	
12,1	14,01	0,516	0,516	14,01	NAN	
12,2	14,115	0,5175	0,5175	14,115	NAN	
12,3	14,22	0,522	0,522	14,22	NAN	
12,4	14,31	0,528	0,528	14,31	NAN	
12,5	14,31	0,5355	0,5355	14,31	NAN	
12,6	14,4	0,5445	0,5445	14,4	NAN	
12,7	14,505	0,555	0,555	14,505	NAN	
12,8	14,595	0,567	0,567	14,595	NAN	
12,9	14,7	0,567	0,567	14,7	NAN	
13	14,79	0,582	0,582	14,79	NAN	
13,1	14,88	0,597	0,597	14,88	NAN	
13,2	14,97	0,615	0,615	14,97	NAN	
13,3	15,06	0,633	0,633	15,06	NAN	
13,4	15,165	0,654	0,654	15,165	NAN	
13,5	15,255	0,6765	0,6765	15,255	NAN	
13,6	15,345	0,7005	0,7005	15,345	NAN	
13,7	15,435	0,726	0,726	15,435	NAN	
13,8	15,525	0,7545	0,7545	15,525	NAN	
13,9	15,63	0,7845	0,7845	15,63	NAN	
14	15,72	0,816	0,816	15,72	NAN	
14,1	15,795	0,8505	0,8505	15,795	NAN	
14,2	15,885	0,888	0,888	15,885	NAN	
14,3	15,975	0,9285	0,9285	15,975	NAN	
14,4	16,065	0,9705	0,9705	16,065	NAN	
14,5	16,155	1,014	1,014	16,155	NAN	
14,6	16,245	1,0575	1,0575	16,245	NAN	
14,7	16,335	1,098	1,098	16,335	NAN	
14,8	16,41	1,134	1,134	16,41	NAN	
14,9	16,5	1,128	1,128	16,5	NAN	
15	16,59	1,1235	1,1235	16,59	NAN	
15,1	16,68	1,2	1,2	16,68	NAN	
15,2	16,755	1,251	1,251	16,755	NAN	
15,3	16,845	1,272	1,272	16,845	NAN	
15,4	16,92	1,2825	1,2825	16,92	NAN	
15,5	17,01	1,287	1,287	17,01	NAN	
15,6	17,1	1,287	1,287	17,1	NAN	
15,7	17,175	1,2825	1,2825	17,175	NAN	
15,8	17,265	1,2735	1,2735	17,265	NAN	
15,9	17,34	1,2615	1,2615	17,34	NAN	
16	17,415	1,2465	1,2465	17,415	NAN	
16,1	17,505	1,23	1,23	17,505	NAN	
16,2	17,58	1,2135	1,2135	17,58	NAN	
16,3	17,67	1,194	1,194	17,67	NAN	
16,4	17,745	1,173	1,173	17,745	NAN	
16,5	17,82	1,149	1,149	17,82	NAN	
16,6	17,91	1,125	1,125	17,91	NAN	
16,7	17,985	1,1025	1,1025	17,985	NAN	
16,8	18,06	1,0815	1,0815	18,06	NAN	
16,9	18,135	1,062	1,062	18,135	NAN	
17	18,21	1,044	1,044	18,21	NAN	
17,1	18,3	1,026	1,026	18,3	NAN	
17,2	18,375	1,011	1,011	18,375	NAN	
17,3	18,45	0,996	0,996	18,45	NAN	
17,4	18,525	0,984	0,984	18,525	NAN	
17,5	18,6	0,9735	0,9735	18,6	NAN	
17,6	18,675	0,966	0,966	18,675	NAN	
17,7	18,75	0,9615	0,9615	18,75	NAN	
17,8	18,825	0,9585	0,9585	18,825	NAN	
17,9	18,825	0,9585	0,9585	18,825	NAN	
18	18,9	0,96	0,96	18,9	NAN	
18,1	18,975	0,9645	0,9645	18,975	NAN	
18,2	19,05	0,9645	0,9645	19,05	NAN	
18,3	19,125	0,972	0,972	19,125	NAN	
18,4	19,2	0,9795	0,9795	19,2	NAN	
18,5	19,275	0,99	0,99	19,275	NAN	
18,6	19,335	1,002	1,002	19,335	NAN	
18,7	19,41	1,0185	1,0185	19,41	NAN	
18,8	19,485	1,0365	1,0365	19,485	NAN	
18,9	19,56	1,056	1,056	19,56	NAN	
19	19,635	1,0785	1,0785	19,635	NAN	
19,1	19,695	1,1025	1,1025	19,695	NAN	
19,2	19,77	1,128	1,128	19,77	NAN	
19,3	19,845	1,1565	1,1565	19,845	NAN	
19,4	19,905	1,1865	1,1865	19,905	NAN	
19,5	19,98	1,218	1,218	19,98	NAN	
19,6	20,055	1,251	1,251	20,055	NAN	
19,7	20,115	1,287	1,287	20,115	NAN	
19,8	20,19	1,323	1,323	20,19	NAN	
19,9	20,25	1,362	1,362	20,25	NAN	
20	20,325	1,404	1,404	20,325	NAN	
20,1	20,385	1,4475	1,4475	20,385	NAN	
20,2	20,46	1,494	1,494	20,46	NAN	
20,3	20,52	1,542	1,542	20,52	NAN	
20,4	20,595	1,593	1,593	20,595	NAN	
20,5	20,655	1,647	1,647	20,655	NAN	
20,6	20,715	1,704	1,704	20,715	NAN	
20,7	20,79	1,7655	1,7655	20,79	NAN	
20,8	20,85	1,827	1,827	20,85	NAN	
20,9	20,91	1,893	1,893	20,91	NAN	
21	20,985	1,9575	1,9575	20,985	NAN	
21,1	21,045	2,0235	2,0235	21,045	NAN	
21,2	21,105	2,0895	2,0895	21,105	NAN	
21,3	21,165	2,154	2,154	21,165	NAN	
21,4	21,24	2,2125	2,2125	21,24	NAN	
21,5	21,3	2,268	2,268	21,3	NAN	
21,6	21,36	2,3205	2,3205	21,36	NAN	
21,7	21,42	2,3685	2,3685	21,42	NAN	
21,8	21,48	2,412	2,412	21,48	NAN	
21,9	21,555	2,451	2,451	21,555	NAN	
22	21,615	2,487	2,487	21,615	NAN	
22,1	21,675	2,52	2,52	21,675	NAN	
22,2	21,735	2,547	2,547	21,735	NAN	
22,3	21,795	2,568	2,568	21,795	NAN	
22,4	21,855	2,583	2,583	21,855	NAN	
22,5	21,915	2,592	2,592	21,915	NAN	
22,6	21,975	2,595	2,595	21,975	NAN	
22,7	22,035	2,5905	2,5905	22,035	NAN	
22,8	22,095	2,583	2,583	22,095	NAN	
22,9	22,155	2,5695	2,5695	22,155	NAN	
23	22,215	2,5515	2,5515	22,215	NAN	
23,1	22,275	2,5305	2,5305	22,275	NAN	
23,2	22,275	2,508	2,508	22,275	NAN	
23,3	22,32	2,4825	2,4825	22,32	NAN	
23,4	22,38	2,4555	2,4555	22,38	NAN	
23,5	22,44	2,427	2,427	22,44	NAN	
23,6	22,5	2,427	2,427	22,5	NAN	
23,7	22,56	2,3955	2,3955	22,56	NAN	
23,8	22,62	2,361	2,361	22,62	NAN	
23,9	22,665	2,325	2,325	22,665	NAN	
24	22,725	2,2875	2,2875	22,725	NAN	
24,1	22,785	2,25	2,25	22,785	NAN	
24,2	22,845	2,214	2,214	22,845	NAN	
24,3	22,89	2,178	2,178	22,89	NAN	
24,4	22,95	2,1435	2,1435	22,95	NAN	
24,5	23,01	2,1105	2,1105	23,01	NAN	
24,6	23,055	2,079	2,079	23,055	NAN	
24,7	23,115	2,049	2,049	23,115	NAN	
24,8	23,175	2,0205	2,0205	23,175	NAN	
