0	0,315	0,2205	0,2205	0,315	NAN	
0,1	0,315	0,2205	0,2205	0,315	NAN	
0,2	0,315	0,2205	0,2205	0,315	NAN	
0,3	0,315	0,2205	0,2205	0,315	NAN	
0,4	0,315	0,2205	0,2205	0,315	NAN	
0,5	0,315	0,2205	0,2205	0,315	NAN	
0,6	0,315	0,2205	0,2205	0,315	NAN	
0,7	0,315	0,2205	0,2205	0,315	NAN	
0,8	0,33	0,2205	0,2205	0,33	NAN	
0,9	0,48	0,222	0,222	0,48	NAN	
1	0,645	0,225	0,225	0,645	NAN	
1,1	0,81	0,2265	0,2265	0,81	NAN	
1,2	0,975	0,2265	0,2265	0,975	NAN	
1,3	1,14	0,225	0,225	1,14	NAN	
1,4	1,305	0,2265	0,2265	1,305	NAN	
1,5	1,47	0,2265	0,2265	1,47	NAN	
1,6	1,62	0,2265	0,2265	1,62	NAN	
1,7	1,785	0,225	0,225	1,785	NAN	
1,8	1,95	0,225	0,225	1,95	NAN	
1,9	2,1	0,225	0,225	2,1	NAN	
2	2,265	0,2265	0,2265	2,265	NAN	
2,1	2,415	0,2265	0,2265	2,415	NAN	
2,2	2,565	0,2265	0,2265	2,565	NAN	
2,3	2,73	0,2265	0,2265	2,73	NAN	
2,4	2,88	0,2265	0,2265	2,88	NAN	
2,5	3,03	0,228	0,228	3,03	NAN	
2,6	3,18	0,228	0,228	3,18	NAN	
2,7	3,33	0,228	0,228	3,33	NAN	
2,8	3,495	0,228	0,228	3,495	NAN	
2,9	3,645	0,228	0,228	3,645	NAN	
3	3,78	0,228	0,228	3,78	NAN	
3,1	3,93	0,2295	0,2295	3,93	NAN	
3,2	4,08	0,231	0,231	4,08	NAN	
3,3	4,23	0,231	0,231	4,23	NAN	
3,4	4,38	0,2325	0,2325	4,38	NAN	
3,5	4,515	0,2325	0,2325	4,515	NAN	
3,6	4,665	0,234	0,234	4,665	NAN	
3,7	4,815	0,2355	0,2355	4,815	NAN	
3,8	4,95	0,2355	0,2355	4,95	NAN	
3,9	5,1	0,237	0,237	5,1	NAN	
4	5,1	0,24	0,24	5,1	NAN	
4,1	5,235	0,2415	0,2415	5,235	NAN	
4,2	5,37	0,243	0,243	5,37	NAN	
4,3	5,52	0,243	0,243	5,52	NAN	
4,4	5,655	0,246	0,246	5,655	NAN	
4,5	5,79	0,2475	0,2475	5,79	NAN	
4,6	5,94	0,2505	0,2505	5,94	NAN	
4,7	6,075	0,2535	0,2535	6,075	NAN	
4,8	6,21	0,2565	0,2565	6,21	NAN	
4,9	6,345	0,2595	0,2595	6,345	NAN	
5	6,48	0,264	0,264	6,48	NAN	
5,1	6,615	0,267	0,267	6,615	NAN	
5,2	6,75	0,27	0,27	6,75	NAN	
5,3	6,885	0,273	0,273	6,885	NAN	
5,4	7,02	0,276	0,276	7,02	NAN	
5,5	7,14	0,279	0,279	7,14	NAN	
5,6	7,275	0,282	0,282	7,275	NAN	
5,7	7,41	0,2835	0,2835	7,41	NAN	
5,8	7,545	0,285	0,285	7,545	NAN	
5,9	7,665	0,2865	0,2865	7,665	NAN	
6	7,8	0,288	0,288	7,8	NAN	
6,1	7,92	0,2895	0,2895	7,92	NAN	
6,2	8,055	0,2895	0,2895	8,055	NAN	
6,3	8,175	0,2895	0,2895	8,175	NAN	
6,4	8,31	0,2895	0,2895	8,31	NAN	
6,5	8,43	0,291	0,291	8,43	NAN	
6,6	8,565	0,291	0,291	8,565	NAN	
6,7	8,685	0,291	0,291	8,685	NAN	
6,8	8,805	0,291	0,291	8,805	NAN	
6,9	8,925	0,291	0,291	8,925	NAN	
7	9,045	0,2925	0,2925	9,045	NAN	
7,1	9,18	0,2925	0,2925	9,18	NAN	
7,2	9,3	0,294	0,294	9,3	NAN	
7,3	9,42	0,297	0,297	9,42	NAN	
7,4	9,54	0,2985	0,2985	9,54	NAN	
7,5	9,66	0,3015	0,3015	9,66	NAN	
7,6	9,765	0,3045	0,3045	9,765	NAN	
