0	0,315	0,222	0,222	0,315	NAN	
0,1	0,315	0,222	0,222	0,315	NAN	
0,2	0,315	0,222	0,222	0,315	NAN	
0,3	0,315	0,222	0,222	0,315	NAN	
0,4	0,315	0,222	0,222	0,315	NAN	
0,5	0,315	0,222	0,222	0,315	NAN	
0,6	0,315	0,222	0,222	0,315	NAN	
0,7	0,315	0,222	0,222	0,315	NAN	
0,8	0,315	0,222	0,222	0,315	NAN	
0,9	0,315	0,222	0,222	0,315	NAN	
1	0,315	0,222	0,222	0,315	NAN	
1,1	0,315	0,222	0,222	0,315	NAN	
1,2	0,315	0,222	0,222	0,315	NAN	
1,3	0,375	0,222	0,222	0,375	NAN	
1,4	0,555	0,2235	0,2235	0,555	NAN	
1,5	0,72	0,2265	0,2265	0,72	NAN	
1,6	0,885	0,2265	0,2265	0,885	NAN	
1,7	1,05	0,2265	0,2265	1,05	NAN	
1,8	1,215	0,2265	0,2265	1,215	NAN	
1,9	1,365	0,2265	0,2265	1,365	NAN	
2	1,53	0,2265	0,2265	1,53	NAN	
2,1	1,695	0,2265	0,2265	1,695	NAN	
2,2	1,86	0,2265	0,2265	1,86	NAN	
2,3	2,01	0,2265	0,2265	2,01	NAN	
2,4	2,175	0,2265	0,2265	2,175	NAN	
2,5	2,325	0,2265	0,2265	2,325	NAN	
2,6	2,475	0,2265	0,2265	2,475	NAN	
2,7	2,64	0,2265	0,2265	2,64	NAN	
2,8	2,79	0,228	0,228	2,79	NAN	
2,9	2,94	0,228	0,228	2,94	NAN	
3	3,09	0,228	0,228	3,09	NAN	
3,1	3,255	0,228	0,228	3,255	NAN	
3,2	3,405	0,228	0,228	3,405	NAN	
3,3	3,555	0,228	0,228	3,555	NAN	
3,4	3,705	0,2295	0,2295	3,705	NAN	
3,5	3,855	0,2295	0,2295	3,855	NAN	
3,6	3,99	0,2295	0,2295	3,99	NAN	
3,7	4,14	0,2295	0,2295	4,14	NAN	
3,8	4,29	0,2295	0,2295	4,29	NAN	
3,9	4,44	0,231	0,231	4,44	NAN	
4	4,575	0,2325	0,2325	4,575	NAN	
4,1	4,725	0,2325	0,2325	4,725	NAN	
4,2	4,875	0,231	0,231	4,875	NAN	
4,3	5,01	0,231	0,231	5,01	NAN	
4,4	5,16	0,2355	0,2355	5,16	NAN	
4,5	5,295	0,24	0,24	5,295	NAN	
4,6	5,43	0,24	0,24	5,43	NAN	
4,7	5,58	0,24	0,24	5,58	NAN	
4,8	5,715	0,2415	0,2415	5,715	NAN	
4,9	5,85	0,2445	0,2445	5,85	NAN	
5	5,985	0,246	0,246	5,985	NAN	
5,1	6,12	0,2505	0,2505	6,12	NAN	
5,2	6,255	0,255	0,255	6,255	NAN	
5,3	6,39	0,2595	0,2595	6,39	NAN	
5,4	6,525	0,261	0,261	6,525	NAN	
5,5	6,66	0,2625	0,2625	6,66	NAN	
5,6	6,795	0,2655	0,2655	6,795	NAN	
5,7	6,93	0,2685	0,2685	6,93	NAN	
5,8	7,065	0,2715	0,2715	7,065	NAN	
5,9	7,2	0,2745	0,2745	7,2	NAN	
6	7,32	0,276	0,276	7,32	NAN	
6,1	7,455	0,2775	0,2775	7,455	NAN	
6,2	7,455	0,279	0,279	7,455	NAN	
6,3	7,59	0,279	0,279	7,59	NAN	
6,4	7,725	0,279	0,279	7,725	NAN	
6,5	7,845	0,2805	0,2805	7,845	NAN	
6,6	7,98	0,2805	0,2805	7,98	NAN	
6,7	8,1	0,2805	0,2805	8,1	NAN	
6,8	8,235	0,2805	0,2805	8,235	NAN	
6,9	8,355	0,282	0,282	8,355	NAN	
7	8,475	0,282	0,282	8,475	NAN	
7,1	8,61	0,2835	0,2835	8,61	NAN	
7,2	8,73	0,282	0,282	8,73	NAN	
7,3	8,85	0,282	0,282	8,85	NAN	
7,4	8,97	0,2835	0,2835	8,97	NAN	
7,5	9,105	0,285	0,285	9,105	NAN	
7,6	9,225	0,2895	0,2895	9,225	NAN	
7,7	9,345	0,291	0,291	9,345	NAN	
7,8	9,465	0,291	0,291	9,465	NAN	
7,9	9,585	0,2925	0,2925	9,585	NAN	
8	9,705	0,2955	0,2955	9,705	NAN	
8,1	9,81	0,294	0,294	9,81	NAN	
8,2	9,93	0,2955	0,2955	9,93	NAN	
8,3	10,05	0,306	0,306	10,05	NAN	
8,4	10,17	0,315	0,315	10,17	NAN	
8,5	10,29	0,3165	0,3165	10,29	NAN	
8,6	10,395	0,324	0,324	10,395	NAN	
8,7	10,515	0,3315	0,3315	10,515	NAN	
8,8	10,635	0,3375	0,3375	10,635	NAN	
8,9	10,74	0,3435	0,3435	10,74	NAN	
9	10,86	0,3525	0,3525	10,86	NAN	
9,1	10,965	0,363	0,363	10,965	NAN	
9,2	11,085	0,3735	0,3735	11,085	NAN	
